rmm_tool,rmm_binary
ScreenConnect,connectwisecontrol-*
ScreenConnect,screenconnect.service.exe
ScreenConnect,*\program files (x86)\screenconnect client *\screenconnect.clientservice.exe
ScreenConnect,*\*\screenconnect.windowsclient.exe
ScreenConnect,*\*\screenconnect.clientservice.exe
ScreenConnect,screenconnect.windowsbackstageshell.exe
ScreenConnect,screenconnect*.exe
ScreenConnect,screenconnect.windowsclient.exe
ScreenConnect,screenconnect.clientservice.exe
ScreenConnect,remote workforce client.exe
ScreenConnect,connectwisecontrol*.exe
ScreenConnect,connectwisecontrol*
ScreenMeet,screenmeetsupport.exe
ScreenMeet,screenmeet.support.exe
SecureCRT,*\vandyke software\clientpack\*
SecureCRT,*\*\securecrt.exe
SecureCRT,*\securecrt.exe
SecureCRT,securecrt.exe
Seetrol,seetrolmyservice.exe
Seetrol,seetrolsetting.exe
Seetrol,seetrolremote.exe
Seetrol,seetrolclient.exe
Seetrol,seetrolcenter.exe
Senso.cloud,sensoservice.exe
Senso.cloud,sensoclient.exe
Senso.cloud,aadg.exe
ServerEye,serviceproxylocalsys.exe
ServerEye,servereye*.exe
ShowMyPC,smpcsetup.exe
ShowMyPC,showmypc.exe
ShowMyPC,showmypc*.exe
SimpleHelp,remoteaccesswinlauncher.exe
SimpleHelp,simpleservice.exe
SimpleHelp,serviceconfig.xml
SimpleHelp,spsrv.exe
SimpleHelp,simplegatewayservice.exe
SimpleHelp,windowslauncher.exe
SimpleHelp,/opt/jwrapper-remote access/*
SimpleHelp,program files\simplehelp\*
SimpleHelp,remote access.exe
SimpleHelp,\jwrapper-remote access\*
SimpleHelp,simplehelpcustomer.exe
SimpleHelp,/library/application support/jwrapper-remote access/*
Site24x7,site24x7windowsagenttrayicon.exe
Site24x7,site24x7pluginagent.exe
Site24x7,monitoringagent.exe
Site24x7,meagenthelper.exe
SkyFex,deskrollua.exe
SkyFex,deskroll.exe
SmarTTY,*\program files (x86)\sysprogs\smartty\*
SmarTTY,*\sysprogs\smartty\*
SmarTTY,smartty.exe
SmarTTY,*\smartty.exe
SmartCode Web VNC,*\program files\tightvnc\*
SmartCode Web VNC,*\tightvnc\*
Sophos-Remote Management System,routernt.exe
Sophos-Remote Management System,clientmrinit.exe
Sophos-Remote Management System,mgntsvc.exe
Splashtop,*\program files (x86)\splashtop\*
Splashtop,*\splashtop\splashtop remote\client for rmm\*
Splashtop,strwinclt.exe
Splashtop,splashtopstreamer.deb
Splashtop,streamer.exe
Splashtop,program files\splashtop\*
Splashtop,splashtop sos.app
Splashtop,splashtop sos
Splashtop,splashtop sos agent
Splashtop,srfilehelper
Splashtop,srsoshelper
Splashtop,splashtopsos*.exe
Splashtop,splashtopstreamer
Splashtop,sragent*.exe
Splashtop,program files (x86)\splashtop\*
Splashtop,sragent.exe
Splashtop,splashtopsos.exe
Splashtop,splashtop*sos*
Splashtop (Beta),splashtop_streamer_windows*.exe
Splashtop (Beta),srmanager.exe
Splashtop (Beta),splashtopsos.exe
Splashtop (Beta),srserver.exe
Splashtop Remote,strwinclt.exe
Splashtop Remote,sragent.exe
Splashtop Remote,srmanager.exe
Splashtop Remote,srserver.exe
Splashtop Remote,srservice.exe
Splashtop Remote,splashtopsos.exe
Splashtop Remote,splashtop_streamer_windows*.exe
SpyAnywhere,sysdiag.exe
SunLogin,sunlogin*.exe
SunLogin,orayremoteservice.exe
SunLogin,orayremoteshell.exe
SuperOps,superops.exe
SuperOps,superopsticket.exe
Supremo,/supremo.app/contents/macos/supremo
Supremo,\programdata\supremoremotedesktop\*
Supremo,supremosystem.exe
Supremo,supremo.exe
Supremo,supremo.dmg
Supremo,supremo*.dmg
Supremo,supremoservice.exe
Supremo,supremohelper.exe
Supremo,supremo*.exe
Syncro,kabutosetup.exe
Syncro,syncro.service.exe
Syncro,syncrolive.service.exe
Syncro,kabuto.installer.exe
Syncro,kabuto.app.runner.exe
Syncro,syncrolive.agent.exe
Syncro,syncro.app.runner.exe
Syncro,syncro.installer.exe
Syncro,kabuto.service.runner.exe
Syncro,syncro.overmind.service.exe
SysAid,ilias.exe
SysAid,*\sysaid\*
SysAid,*\program files\sysaidserver\*
SysAid,*\ilias.exe
SysAid,*\sysaidserver\*
Syspectr,oo-syspectr*.exe
Syspectr,oosysagent.exe
TSPlus,setup-tsplus.exe
TSPlus,remotesupportunattendedservice.exe
TSPlus,remotesupportsystemhelper.exe
TSPlus,remotesupport.exe
Tactical RMM,programdata\tacticalrmm\*
Tactical RMM,tacticalrmm.exe
Tactical RMM,meshagent.exe
Tactical RMM,tacticalrmm*.exe
Tailscale,tailscale.exe
Tailscale,tailscale
Tailscale,tailscaled
Tailscale,tailscale*.exe
Tailscale,ipnextension
Tailscale,tailscale-ipn.exe
Tailscale,tailscale-*.exe
Tailscale,io.tailscale.ipn.macsys.network-extension
Tailscale,tailscaled.exe
Tailscale,tailscaled*
Tailscale,tailscale*
Tanium,taniumcx.exe
Tanium,taniumfileinfo.exe
Tanium,tpowershell.exe
Tanium,taniumexecwrapper.exe
Tanium,taniumclient.exe
Teamviewer,*\program files\teamviewer\
Teamviewer,teamviewer_setup.exe
Teamviewer,teamviewer*.exe
Teamviewer,teamviewerhost
Teamviewer,teamviewer_service.exe
Teamviewer,teamviewer_desktop.exe
Teamviewer,tv_*.exe
Teamviewer,teamviewer
Teamviewer,teamviewer.exe
TeleDesktop,ptdskhost.exe
TeleDesktop,ptdskclient.exe
TeleDesktop,pstlaunch.exe
TigerVNC,winvnc*
TigerVNC,tigervnc*.exe
TigerVNC,winvnc4.exe
TigerVNC,*\program files\tightvnc\*
TigerVNC,*\tvnserver.exe
TigerVNC,*\tightvnc\*
TightVNC,vncserver
TightVNC,vncviewer
TightVNC,tvnviewer.exe
TightVNC,tightvncviewerportable*.exe
TightVNC,tvnserver.exe
ToDesk,todesk_service.exe
ToDesk,todesk_setup.exe
ToDesk,todesk.exe
ToDesk,hoptodesk.exe
ToDesk,*\program files (x86)\hoptodesk\*
ToDesk,/applications/hoptodesk.app
Total Software Deployment,*\tniwinagent.exe
Total Software Deployment,*\tsdservice.exe
Total Software Deployment,tniwinagent.exe
Total Software Deployment,tsdservice.exe
Total Software Deployment,*\total software deployment\*
Total Software Deployment,*\programdata\total software deployment\*
UltraVNC,*\program files\uvnc bvba\ultravnc\*
UltraVNC,*\vncviewer.exe
UltraVNC,*\winvnc.exe
UltraVNC,*\uvnc_launch.exe
UltraVNC,uvnc_launch.exe
UltraVNC,repeater.exe
UltraVNC,winvnc.exe
UltraVNC,vncviewer.exe
UltraVNC,ultravnc*.exe
UltraVNC,*\uvnc bvba\ultravnc\*
UltraVNC,uvncvirtualdisplay.dll
UltraVNC,uvnc_settings.exe
UltraVNC,uvnc_screenrecorder.exe
UltraViewer,ultraviewer_setup*
UltraViewer,ultraviewer_desktop.exe
UltraViewer,ultraviewer.exe
UltraViewer,*\program files (x86)\ultraviewer\ultraviewer_desktop.exe
UltraViewer,*\ultraviewer\
UltraViewer,*\ultraviewer_desktop.exe
UltraViewer,ultraviewer_service.exe
UltraViewer,ultraviewer*.exe
VNC,winvnc.exe
VNC,vncserverui.exe
VNC,winvnc*.exe
VNC,vncserver*
VNC,vncviewer.exe
VNC,winvnc*
VNC,winvncsc.exe
VNC,winwvc.exe
VNC,vncserver.exe
VSCodeTunnel,code-tunnel*tunnel*
VSCodeTunnel,code-tunnel.exe*tunnel*
VSCodeTunnel,code.exe*tunnel
Vine VNC Server (OSXvnc),vineserver*
Vine VNC Server (OSXvnc),vineserver-*.dmg
WebRDP,webrdp.exe
Weezo,weezo*.exe
Weezo,weezo setup*.exe
Weezo,weezo.exe
Weezo,weezohttpd.exe
XMReality,com.xmreality.xmandroid
XMReality,uninstall xmreality.exe
XMReality,xmreality*.app
XMReality,xmreality installer.exe
XMReality,xmreality*.exe
Xeox,xeox_service_windows.exe
Xeox,xeox*.exe
Xeox,xeox-agent_*.exe
Xeox,xeox-agent_x86.exe
Xeox,xeox-agent_x64.exe
Xpra,xpra-x86_64_setup.exe
Xpra,*\xpra-launcher.exe
Xpra,*\xpra-x86_64_setup.exe
Xpra,*\xpra\*
Xpra,xpra-launcher.exe
Xpra,*\program files (x86)\xpra\*
ZOC,*\program files\zoc8\*
ZOC,*\zoc?\*
ZOC,zoc.exe
ZOC,*\zoc.exe
Zabbix Agent,zabbix_agent*.exe
ZeroTier,zerotier*.exe
ZeroTier,zerotier*.msi
ZeroTier,zero-powershell.exe
ZeroTier,zerotier*
ZohoAssist,zohotray.exe
ZohoAssist,za_upgrader
ZohoAssist,za_access.exe
ZohoAssist,za_connect.exe
ZohoAssist,*\*\za_access.exe
ZohoAssist,connect.exe
ZohoAssist,zaservice.exe
ZohoAssist,zmagent.exe
ZohoAssist,zohomeeting/agent.exe
ZohoAssist,zohoursservice.exe
ZohoAssist,zohomeeting.exe
ZohoAssist,zohours.exe
ZohoAssist,zoho*.exe
ZohoAssist,*\za_access.exe
eHorus,ehorus standalone.exe
ezHelp,ezhelpmanager.exe
ezHelp,ezhelpclientmanager.exe
ezHelp,ezhelpclient.exe
mRemoteNG,mremoteng.exe
mRemoteNG,*\program files (x86)\mremoteng\*
mRemoteNG,*\mremoteng\*
mRemoteNG,*\mremoteng.exe
mRemoteNG,*\program files (x86)*\mremoteng
mRemoteNG,*\mremoteng
mRemoteNG,mremoteng-installer-*.msi
mstsc,*\windows\system32\mstsc.exe
mstsc,*windows\system32\mstsc.exe
pcAnywhere,awrem32.exe
pcAnywhere,pcaquickconnect.exe
pcAnywhere,awhost32.exe
pcAnywhere,winaw32.exe
pcAnywhere,basupappelev.exe
pcAnywhere,takecontrol.exe
pcAnywhere,basupappsrvc.exe
pcAnywhere,basupsysinf.exe
pcAnywhere,basupapp.exe
pcAnywhere,basupsrvcupdate.exe
pcAnywhere,basuptshelper.exe
pcAnywhere,basupsrvc.exe
rdp2tcp,rdp2tcp.py
rdp2tcp,tdp2tcp.exe
rdpwrap,rdpwinst.exe
rdpwrap,rdpconf.exe
rdpwrap,rdpcheck.exe
